r,rw,rx,rwc,rwx,rwxc,category,family,label
69,71,26,28,5,0,Ransomware,Zeppelin,Ransomware
120,102,50,29,6,0,Ransomware,Zeppelin,Ransomware
120,101,50,29,6,0,Ransomware,Zeppelin,Ransomware
83,89,33,27,5,0,Ransomware,Zeppelin,Ransomware
69,75,26,28,5,0,Ransomware,Zeppelin,Ransomware
66,65,25,23,5,0,Ransomware,Zeppelin,Ransomware
83,89,33,27,5,0,Ransomware,Zeppelin,Ransomware
105,101,44,29,6,0,Ransomware,Zeppelin,Ransomware
94,86,37,26,7,1,Ransomware,Zeppelin,Ransomware
73,68,28,22,6,0,Ransomware,Zeppelin,Ransomware
66,70,25,28,5,0,Ransomware,Zeppelin,Ransomware
162,158,67,35,7,1,Ransomware,Zeppelin,Ransomware
128,133,51,40,6,0,Ransomware,Zeppelin,Ransomware
66,70,25,28,5,0,Ransomware,Zeppelin,Ransomware
127,128,52,33,6,0,Ransomware,Zeppelin,Ransomware
108,114,42,35,6,0,Ransomware,Zeppelin,Ransomware
69,75,26,28,5,0,Ransomware,Zeppelin,Ransomware
73,68,28,22,6,0,Ransomware,Zeppelin,Ransomware
95,90,37,34,6,0,Ransomware,Zeppelin,Ransomware
160,157,69,33,7,1,Ransomware,Zeppelin,Ransomware
73,68,28,22,6,0,Ransomware,Zeppelin,Ransomware
66,70,25,28,5,0,Ransomware,Zeppelin,Ransomware
12,10,4,5,3,0,Ransomware,Zeppelin,Ransomware
127,135,52,32,6,0,Ransomware,Zeppelin,Ransomware
105,101,44,29,6,0,Ransomware,Zeppelin,Ransomware
73,68,28,22,6,0,Ransomware,Zeppelin,Ransomware
66,65,25,23,5,0,Ransomware,Zeppelin,Ransomware
69,76,26,28,5,0,Ransomware,Zeppelin,Ransomware
44,59,19,27,6,0,Ransomware,GandCrab.exe,Ransomware
173,183,59,66,79,11,Ransomware,jigsaw,Ransomware
123,193,40,87,90,19,Ransomware,jigsaw,Ransomware
123,206,41,71,98,19,Ransomware,EternalRocks,Ransomware
93,77,28,28,64,0,Ransomware,BlackRose,Ransomware
69,72,26,28,5,0,Ransomware,Exorcist,Ransomware
483,370,158,102,66,0,Ransomware,Exorcist,Ransomware
120,106,50,29,6,0,Ransomware,Exorcist,Ransomware
110,116,44,32,6,0,Ransomware,Exorcist,Ransomware
69,73,26,28,5,0,Ransomware,Exorcist,Ransomware
83,89,33,27,5,0,Ransomware,Exorcist,Ransomware
66,70,25,28,5,0,Ransomware,Exorcist,Ransomware
66,70,25,28,5,0,Ransomware,Exorcist,Ransomware
66,70,25,28,5,0,Ransomware,Exorcist,Ransomware
66,70,25,28,5,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
33,45,10,17,52,0,Ransomware,Exorcist,Ransomware
90,75,28,29,58,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
166,102,54,35,63,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
131,92,44,33,64,0,Ransomware,Exorcist,Ransomware
33,45,10,17,52,0,Ransomware,Exorcist,Ransomware
85,71,26,27,60,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
84,72,26,27,58,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
55,57,15,25,42,0,Ransomware,Exorcist,Ransomware
54,52,15,20,42,0,Ransomware,NotPetya,Ransomware
99,85,39,29,6,0,Ransomware,NotPetya,Ransomware
84,102,34,30,6,0,Ransomware,EKANS,Ransomware
136,203,55,28,6,0,Ransomware,Babuk,Ransomware
55,58,15,25,42,0,Ransomware,Babuk,Ransomware
85,74,26,27,61,0,Ransomware,Babuk,Ransomware
55,58,15,25,42,0,Ransomware,Babuk,Ransomware
85,74,26,27,60,0,Ransomware,Babuk,Ransomware
136,211,55,28,6,0,Ransomware,Babuk,Ransomware
55,58,15,25,42,0,Ransomware,Babuk,Ransomware
85,73,26,27,61,0,Ransomware,Babuk,Ransomware
136,207,55,28,6,0,Ransomware,Babuk,Ransomware
55,58,15,25,42,0,Ransomware,Babuk,Ransomware
85,73,26,27,60,0,Ransomware,Babuk,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
150,161,65,32,11,0,Ransomware,GandCrab,Ransomware
93,85,38,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
151,158,65,32,11,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
97,88,40,27,6,0,Ransomware,GandCrab,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
55,58,15,25,42,0,Ransomware,Katyusha,Ransomware
85,78,26,27,61,0,Ransomware,Katyusha,Ransomware
85,75,26,27,61,0,Ransomware,Katyusha,Ransomware
140,4363,56,31,8,0,Ransomware,Katyusha,Ransomware
69,71,26,28,5,0,Ransomware,Katyusha,Ransomware
85,82,32,25,5,0,Ransomware,Katyusha,Ransomware
69,71,26,28,5,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
