protocol,flag,family,address,usd,seed_address,btc,netflow_bytes,ip_address,clusters,threats,port,time,prediction
TCP,APS,Razy,1DiCeTjB,1,17dcMo4V,16,224,B,9,Scan,5066,3,Benign
TCP,R,SamSam,1SYSTEMQ,18111,1DA11mPS,22,4981,C,1,Port Scanning,5066,6,Benign
UDP,AP,SamSam,1SYSTEMQ,18454,1DA11mPS,11,2251,C,1,Blacklist,5062,58,Ransomware
UDP,AF,DMALocker,1DiCeTjB,1,1GZkujBR,20,307,A,1,Spam,5061,45,Ransomware
UDP,AF,APT,18e372GN,2264,1GZkujBR,28,38,A,2,Port Scanning,5068,9,Benign
UDP,ASF,APT,18e372GN,861,1GZkujBR,3,1889,A,1,DoS,5062,7,Ransomware
TCP,A,Razy,1DiCeTjB,822,17dcMo4V,4,90,A,2,SSH,5062,25,Benign
ICMP,AF,JigSaw,18e372GN,1443,1GZkujBR,30,4023,C,1,UDP Scan,5066,32,Benign
TCP,APSF,APT,1CLag5cd,7148,1DA11mPS,2,2090,B,1,Botnet,5066,38,Ransomware
TCP,AF,Globe,1BonuSr7,300,17dcMo4V,200,700,B,1,Spam,5062,40,Ransomware
TCP,AF,EDA2,1BonuSr7,21345,1DA11mPS,11,416,C,1,SSH,5061,20,Benign
TCP,APS,JigSaw,18e372GN,1,1GZkujBR,7,1166,A,9,UDP Scan,5062,52,Benign
TCP,AF,Locky,1SYSTEMQ,1,1DA11mPS,9,6416,A,1,Botnet,5061,2,Ransomware
TCP,AF,Globe,1DiCeTjB,21345,1DA11mPS,11,507,C,1,Spam,5061,7,Ransomware
TCP,ARF,CryptXXX,18e372GN,18454,1DA11mPS,13,196,A,1,Blacklist,5066,7,Ransomware
TCP,APS,Locky,1BonuSr7,1,1DA11mPS,6,2544,C,1,SSH,5066,16,Benign
ICMP,AF,Razy,1DiCeTjB,341,17dcMo4V,19,8360,B,2,NerisBotnet,5066,20,Ransomware
TCP,AF,Locky,1SYSTEMQ,26168,1NKi9AK5,9,6026,B,1,Spam,5066,57,Ransomware
UDP,AP,CryptXXX,1SYSTEMQ,18454,1NKi9AK5,19,2586,C,1,Blacklist,5062,14,Ransomware
TCP,R,EDA2,1SYSTEMQ,18114,1NKi9AK5,22,4966,C,1,DoS,5066,10,Ransomware
TCP,APSF,Locky,1BonuSr7,7184,1DA11mPS,2,2087,B,1,Botnet,5066,44,Ransomware
TCP,APS,WannaCry,1DiCeTjB,1,1GZkujBR,7,1094,A,9,SSH,5062,40,Benign
TCP,APSF,CryptXXX,1CLag5cd,5264,1DA11mPS,3,1598,A,1,DoS,5068,48,Ransomware
TCP,APSF,DMALocker,1CLag5cd,7712,1DA11mPS,2,1955,B,1,Botnet,5066,1,Ransomware
UDP,AF,Locky,18e372GN,21345,1DA11mPS,11,7616,A,1,Spam,5062,8,Ransomware
ICMP,AP,EDA2,1SYSTEMQ,18454,1NKi9AK5,19,3186,C,1,Scan,5062,13,Benign
ICMP,APS,JigSaw,1DiCeTjB,187,17dcMo4V,126,249,B,2,UDP Scan,5061,20,Benign
UDP,ARF,WannaCry,1SYSTEMQ,15284,1NKi9AK5,11,1491,A,1,Botnet,5061,1,Ransomware
UDP,ARF,JigSaw,1SYSTEMQ,18454,1NKi9AK5,13,356,A,1,SSH,5061,4,Benign
TCP,APS,EDA2,1DiCeTjB,1261,1GZkujBR,4,822,D,2,SSH,5062,45,Benign
UDP,R,Razy,1CLag5cd,762,17dcMo4V,122,12152,B,2,NerisBotnet,5068,17,Ransomware
UDP,ASF,APT,18e372GN,648,1GZkujBR,3,1108,A,1,SSH,5062,59,Benign
UDP,AF,APT,18e372GN,5627,17dcMo4V,20,2022,B,1,Port Scanning,5062,37,Benign
ICMP,AF,Cryptohitman,1BonuSr7,21345,1DA11mPS,30,56,C,1,UDP Scan,5068,1,Benign
ICMP,APRSF,WannaCry,18e372GN,607,1GZkujBR,19,386,A,2,Port Scanning,5066,4,Benign
TCP,APS,JigSaw,1DiCeTjB,1,1GZkujBR,16,386,B,9,Spam,5066,4,Ransomware
TCP,APS,JigSaw,1DiCeTjB,1,1GZkujBR,16,446,B,9,SSH,5066,33,Benign
ICMP,AF,WannaCry,18e372GN,1149,1GZkujBR,30,2945,C,1,SSH,5068,13,Benign
UDP,AF,Flyper,1DiCeTjB,126259,17dcMo4V,30,306,C,3,Port Scanning,5068,27,Benign
ICMP,AF,Locky,18e372GN,2642,1GZkujBR,2,92,A,2,Scan,5068,38,Benign
TCP,APS,WannaCry,1DiCeTjB,1,1GZkujBR,9,806,A,9,SSH,5066,40,Benign
UDP,AF,Locky,1BonuSr7,21345,1DA11mPS,11,689,A,1,Spam,5062,16,Ransomware
ICMP,APS,SamSam,1DiCeTjB,123,17dcMo4V,62,153,B,2,Botnet,5061,20,Ransomware
ICMP,APRSF,Locky,1DiCeTjB,379,17dcMo4V,19,234,B,2,Port Scanning,5062,45,Benign
UDP,AP,DMALocker,1SYSTEMQ,16748,1DA11mPS,11,2101,C,1,Botnet,5062,28,Ransomware
TCP,AF,Cryptohitman,1SYSTEMQ,50991,1DA11mPS,9,84,A,1,UDP Scan,5066,26,Benign
TCP,APS,TowerWeb,18e372GN,1,1DA11mPS,7,3552,C,1,Spam,5066,46,Ransomware
UDP,AF,WannaCry,1DiCeTjB,5747,17dcMo4V,20,2454,C,1,Port Scanning,5062,37,Benign
UDP,ASF,WannaCry,18e372GN,960,1GZkujBR,3,2252,C,1,UDP Scan,5068,9,Benign
TCP,AF,EDA2,1DiCeTjB,21345,1DA11mPS,11,10244,C,1,Scan,5062,2,Benign
ICMP,AF,DMALocker,1DiCeTjB,21345,17dcMo4V,30,62,C,1,UDP Scan,5068,3,Benign
TCP,APSF,DMALocker,1BonuSr7,2444,1DA11mPS,8,658,B,1,DoS,5068,36,Ransomware
TCP,APSF,JigSaw,18e372GN,1442,1DA11mPS,2,1175,B,1,Blacklist,5066,5,Ransomware
TCP,AF,APT,1DiCeTjB,21345,1DA11mPS,30,278,C,1,UDP Scan,5061,8,Benign
UDP,AP,SamSam,1SYSTEMQ,18454,1NKi9AK5,11,1876,C,1,Botnet,5062,49,Ransomware
TCP,APS,CryptoLocker,18e372GN,1123,1GZkujBR,4,3800,D,2,SSH,5062,8,Benign
TCP,AF,Razy,1DiCeTjB,21345,1DA11mPS,11,392,C,2,SSH,5061,26,Benign
TCP,APSF,WannaCry,1DiCeTjB,1514,1DA11mPS,2,941,B,1,SSH,5066,12,Benign
TCP,APSF,Flyper,1DiCeTjB,30,17dcMo4V,111,618,B,12,SSH,5061,59,Benign
TCP,R,Locky,1SYSTEMQ,18100,1DA11mPS,22,5036,C,1,Scan,5066,31,Benign
TCP,AF,Flyper,1SYSTEMQ,1,1GZkujBR,9,2164,C,1,Blacklist,5061,42,Ransomware
TCP,R,Locky,1SYSTEMQ,17941,1DA11mPS,9,5831,B,1,Botnet,5066,7,Ransomware
UDP,AF,WannaCry,18e372GN,1,1GZkujBR,20,934,A,1,Port Scanning,5062,1,Benign
UDP,ASF,APT,1DiCeTjB,78,17dcMo4V,3,690,A,1,NerisBotnet,5061,15,Ransomware
