Feature,Type,Role,Data_Type,Unique_Values,Missing,Statistics,Sample_Values
protocol,Categorical,Feature,object,3,0,Categories: 3,"TCP, TCP, UDP"
flag,Categorical,Feature,object,9,0,Categories: 9,"APS, R, AP"
family,Categorical,Feature,object,17,0,Categories: 17,"Razy, SamSam, SamSam"
address,Categorical,Feature,object,7,0,Categories: 7,"1DiCeTjB, 1SYSTEMQ, 1SYSTEMQ"
usd,Numerical,Feature,int64,3241,0,"Min: 1.00, Max: 126379.00, Mean: 14561.87, Std: 26570.02","1, 18111, 18454"
seed_address,Categorical,Feature,object,6,0,Categories: 6,"17dcMo4V, 1DA11mPS, 1DA11mPS"
btc,Numerical,Feature,int64,329,0,"Min: 1.00, Max: 1864.00, Mean: 31.55, Std: 102.86","16, 22, 11"
netflow_bytes,Numerical,Feature,int64,3294,0,"Min: 1.00, Max: 12360.00, Mean: 2034.38, Std: 2287.04","224, 4981, 2251"
ip_address,Categorical,Feature,object,4,0,Categories: 4,"B, C, C"
clusters,Numerical,Feature,int64,9,0,"Min: 1.00, Max: 12.00, Mean: 2.41, Std: 2.89","9, 1, 1"
threats,Categorical,Feature,object,9,0,Categories: 9,"Scan, Port Scanning, Blacklist"
port,Numerical,Feature,int64,4,0,"Min: 5061.00, Max: 5068.00, Mean: 5063.91, Std: 2.67","5066, 5066, 5062"
time,Numerical,Feature,int64,72,0,"Min: 0.00, Max: 78.00, Mean: 21.57, Std: 15.93","3, 6, 58"
prediction,Target Variable,Classification Label,object,2,0,Categories: 2,"Benign, Benign, Ransomware"
